id,category,sno,title,date,pdf_link,filename,scraped_time
7acdd8f96490de42,public_notices,11,"Compounding of Offences under the Drugs and Cosmetics Act, 1940 in accordance with the Drugs and Cosmetics (Compounding of Offences) Rules, 2025",2026-Jan-01,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTM3NjA=,Compounding_of_Offences_under_the_Drugs_and,2026-02-19T06:18:51.272394
ac55d9a70da257ae,gazette_notifications,1,"2026.02.02 G.S.R. 98(E)_Draft Notification regarding amendment in NDCT Rules, 2019 for Omit the requirements of granting of Provisional Certificate for registration of ethics committee.",2026-Feb-02,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTM4NTM=,20260202_GSR_98EDraft_Notification_regarding_amendment_in,2026-02-19T06:18:53.690894
09a95e4b72b7c462,gazette_notifications,2,"2026.02.02 G.S.R. 97(E)_Draft Notification regarding submission of post approval changes in NDCT, Rules 2019",2026-Feb-02,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTM4NTI=,20260202_GSR_97EDraft_Notification_regarding_submission_of,2026-02-19T06:18:53.690894
c866ccd0f02496c2,gazette_notifications,3,"2026.01.28 G.S.R. 66(E)_Draft Notification for consideration of Navi Mumbai International Airport (NMIA) as authorized Airport for Drug Import, under the provision of Rule 43A of Drugs Rules 1945",2026-Jan-28,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTM4MzY=,20260128_GSR_66EDraft_Notification_for_consideration_of,2026-02-19T06:18:53.690894
6ea0a16b20250859,gazette_notifications,4,"2026.01.28 G.S.R. 65(E)_Draft notification of Chaudhary Charan Singh National Institute of Animal Health, Baghpat, UP, as a CDL for testing viral and bacterial veterinary vaccines under the D and C Ac",2026-Jan-28,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTM4Mzk=,20260128_GSR_65EDraft_notification_of_Chaudhary_Charan,2026-02-19T06:18:53.690894
3848d64599fa1d4a,gazette_notifications,5,2026.01.22 G.S.R. 52(E)_Draft Notification for Revision of testing fees under Schedule B and B1,2026-Jan-22,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTM4MzA=,20260122_GSR_52EDraft_Notification_for_Revision_of,2026-02-19T06:18:53.690894
4e03a9cd01b0cb20,gazette_notifications,6,2026.01.21 G.S.R. 54(E)_Draft Notification for amendment in Schedule H1 for inclusion of Pregabalin and its drug formulations,2026-Jan-21,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTM4MzE=,20260121_GSR_54EDraft_Notification_for_amendment_in,2026-02-19T06:18:53.690894
c32564637fe9441d,gazette_notifications,7,"2026.01.21 G.S.R. 50(E)_Notification for amendment in NDCT Rules, 2019 for online intimation mechanism for BA BE studies of unapproved drugs for export purpose",2026-Jan-21,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTM4Mjk=,20260121_GSR_50ENotification_for_amendment_in_NDCT,2026-02-19T06:18:53.690894
600b6faa561b1515,gazette_notifications,8,2026.01.21 G.S.R. 51(E)_ Draft Notification regarding Blue line on Label of Antimicrobial,2026-Jan-21,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTM4Mjg=,20260121_GSR_51E_Draft_Notification_regarding_Blue,2026-02-19T06:18:53.690894
e81dfc1339b8ffd4,gazette_notifications,9,"2026.01.21 G.S.R. 53(E)_Draft Notification for amendment in Schedule V w.r.t. unit of measurement of Folic Acid under the Drugs Rules, 1945",2026-Jan-21,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTM4MzI=,20260121_GSR_53EDraft_Notification_for_amendment_in,2026-02-19T06:18:53.690894
dcf6058bdd7c0817,gazette_notifications,10,2026.01.20 G.S.R. 45(E)_ Draft Notification for exemption of Animal Toxicity Studies w.r.t. certain conditions,2026-Jan-20,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTM4Mjc=,20260120_GSR_45E_Draft_Notification_for_exemption,2026-02-19T06:18:53.690894
81cd3f8b4c93dda6,gazette_notifications,11,2026.01.20_G.S.R. 46(E)_Notification about changes to requirements of Test license under NDCT Rules 2019 â,2026-Jan-20,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTM4MjE=,20260120GSR_46ENotification_about_changes_to_requirements_of,2026-02-19T06:18:53.690894
ca2a062a97fb1264,gazette_notifications,1,"2026.02.16 G.S.R. 135(E)_Notification for amendment in certain Drugs Rules (Related to Rule 121 Ã¢ÂÂ Test for Pyrogen, Footnote of Schedule H, condition of license under Form 20B, 20BB, 21B, 21BB, inclusion of name of competent person in Form 20G)",2026-Feb-16,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTM4Nzc=,20260216_GSR_135ENotification_for_amendment_in_certain,2026-02-20T12:51:35.956891
d70ac1bef7affe8d,gazette_notifications,1,2026.02.18 S.O. 912(E)_Notification of Medical Device Testing Officers (MDTO) for Laboratories,2026-Feb-18,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTM4ODc=,20260218_SO_912ENotification_of_Medical_Device_Testing,2026-02-23T08:00:54.500865
4d7e75f92c1eb76b,public_notices,1,"Cancellation of Registration Certificates and lmport Registration Numbers for lmport of Cosmetics under the Cosmetics Rules, 2020- Regarding",2026-Feb-23,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTM4ODg=,Cancellation_of_Registration_Certificates_and_lmport_Registration,2026-02-23T12:56:18.321129
d1ca859968dc253e,public_notices,5,"Cancellation of products underRC/COS-001655, for import of Cosmetics under Cosmetics Rules, 2020",2026-Jan-27,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTM4MzQ=,Cancellation_of_products_underRCCOS001655_for_import_of,2026-02-23T12:56:18.321129
