id,date,title,pdf_link,detail_page_link,pdf_filename,wing_category,file_info,category,created_at
331df3ccfc4f77586f6a449a528ff1d3ea9f523c,10-03-2026,Revised Administrative Approval of DCDFC Scheme FY 2021-22 to FY 2025-26,https://mib.gov.in/sites/default/files/2026-03/revised-administrative-approval-of-dcdfc-scheme-fy-2021-22-to-fy-2025-26.pdf,,2026-03-10_revised-administrative-approval-of-dcdfc-scheme-fy-2021-22-to-fy-2025-26.pdf,Policy,3.75 MB,acts_policy_guidelines,2026-03-10T13:40:23.980094+00:00
24baadc93f6855a473c7c4057cb8c294d48ac51a,10-03-2026,EFC of DCDFC Scheme FY 2021-22 to 2025-26,https://mib.gov.in/sites/default/files/2026-03/efc-of-dcdfc-scheme-fy-2021-22-to-2025-26.pdf,,2026-03-10_efc-of-dcdfc-scheme-fy-2021-22-to-2025-26.pdf,Policy,10.33 MB,acts_policy_guidelines,2026-03-10T13:40:23.980210+00:00
5f7d9ea0e595a0cda3569e3c25bc3aeb2672d8ac,27-03-2026,Television Ratings Policy 2026-Guidelines for the Regulation of Television Ratings,https://mib.gov.in/sites/default/files/2026-03/tv-rating-policy-2026-dated-27032026.pdf,,2026-03-27_television-ratings-policy-2026-guidelines-for-the-regulation-of-television-ratin.pdf,Policy,929.65 KB,acts_policy_guidelines,2026-03-27T13:46:51.099232+00:00
b37143b3aedf0f989ed6c240abcc4300978243a1,30-03-2026,Details of operational Pvt FM Radio channels - 30.03.2026,https://mib.gov.in/sites/default/files/2026-03/390_operationalchannels_as-pn-30032026.pdf,,2026-03-30_details-of-operational-pvt-fm-radio-channels---30032026.pdf,Broadcasting Section,311.83 KB,notices,2026-03-30T14:05:03.362137+00:00
c07fe627c8f7e220389de218e74074fa916cccfa,31-03-2026,Constitution of Appeal Committee for deciding on the feasibility of appeals in M/o Information and Broadcasting– reg.,https://mib.gov.in/sites/default/files/2026-04/document-113.pdf,,2026-03-31_constitution-of-appeal-committee-for-deciding-on-the-feasibility-of-appeals-in-m.pdf,Guidelines,84.77 KB,acts_policy_guidelines,2026-04-01T14:09:52.150275+00:00
47a38a518524c3b02190e1e0b95bf7415418e85b,30-03-2026,Exemptions from the provisions of certification of films-reg,https://mib.gov.in/sites/default/files/2026-04/mib-om-dated-30.03.2026-reg-exemption-of-films-from-the-provisions-of-certification.pdf,,2026-03-30_exemptions-from-the-provisions-of-certification-of-films-reg.pdf,Policy,4.34 MB,acts_policy_guidelines,2026-04-02T13:59:45.332809+00:00
e2156b923388dd8b95d8653d359a74c1c3e2ecf2,09-04-2026,Final Seniority list of SGB as per CAT order dated 15.01.2026,https://mib.gov.in/sites/default/files/2026-04/final-seniority-list-of-sgb-as-per-cat-order-dated-15.01.2026r.pdf,,2026-04-09_final-seniority-list-of-sgb-as-per-cat-order-dated-15012026.pdf,Indian Information Services,15.03 MB,notices,2026-04-09T14:17:40.090352+00:00
65cba0bbb69556cabaa43637667726c49b542781,17-04-2026,Amendment of Recruitment Rules (RRs) for the post of Accounts Clerk in Publications Division -reg,https://mib.gov.in/sites/default/files/2026-04/communication-dated-16.04.2026.pdf,,2026-04-17_amendment-of-recruitment-rules-rrs-for-the-post-of-accounts-clerk-in-publication.pdf,Information Wing,680.84 KB,notices,2026-04-17T14:01:23.269656+00:00
1f21ef8d164168323c62166e7ff0be1785d2eb89,22-04-2026,Advisory to IPTV Service Providers,https://mib.gov.in/sites/default/files/2026-04/advisory-to-iptv-service-providers-dated-22.04.2026_0.pdf,,2026-04-22_advisory-to-iptv-service-providers.pdf,Acts,1.37 MB,acts_policy_guidelines,2026-04-22T14:13:56.834574+00:00
ee0abb39ccf84f2c7855f1e5f8d566fa9ede97d4,05-05-2026,Order No. 40 2026 IIS dated 30.04.2026 Promotion Order to STS Grade of IIS Group A,https://mib.gov.in/sites/default/files/2026-05/order-no-40-2026-iis-dated-30.04.2026-promotion-order-to-sts-grade-of-iis-group-a_0001_0.pdf,,2026-05-05_order-no-40-2026-iis-dated-30042026-promotion-order-to-sts-grade-of-iis-group-a.pdf,Indian Information Services,1.3 MB,notices,2026-05-05T14:29:48.875856+00:00
829bdf29fd6cc61ee49daa3d5b394b356d8adfe5,08-05-2026,Amendment to Television Ratings Policy 2026,https://mib.gov.in/sites/default/files/2026-05/amendment-to-television-ratings-policy-2026.pdf,,2026-05-08_amendment-to-television-ratings-policy-2026.pdf,Guidelines,21.81 KB,acts_policy_guidelines,2026-05-08T14:20:25.592798+00:00
34b156ed7fba4a331430f8300c5fe021c509c344,08-05-2026,Amendment to Television Ratings Policy 2026,https://mib.gov.in/sites/default/files/2026-05/amendment-to-television-ratings-policy-2026_0.pdf,,2026-05-08_amendment-to-television-ratings-policy-2026.pdf,Guidelines,253.57 KB,acts_policy_guidelines,2026-05-11T05:57:45.036614+00:00
c8546b5d56cff62181704ca3ddc34207b0cd5990,13-05-2026,Inter-Ministerial Committee (IMC) to examine Complaints/Grievances related to Private FM Radio,https://mib.gov.in/sites/default/files/2026-05/imc-order-dated-05.05.2026-to-be-uploaded-on-mibs-website-1.pdf,,2026-05-13_inter-ministerial-committee-imc-to-examine-complaintsgrievances-related-to-priva.pdf,Broadcasting Wing,887.09 KB,notices,2026-05-13T15:19:36.163096+00:00
c14cabe61f3bdafd3a43ad98a666d8691923d5ee,26-05-2026,Revised composition of Capacity Building Unit (CBU) in M/o I&B - Admn.I,https://mib.gov.in/sites/default/files/2026-05/capacity-building-unit-order.pdf,,2026-05-26_revised-composition-of-capacity-building-unit-cbu-in-mo-ib---admni.pdf,Information Wing,948.65 KB,notices,2026-05-26T16:14:17.359741+00:00
32b561f338376e25231c8b38aa072fea0cf89369,26-05-2026,Expenditure on Hospitality facilities to the officers in the Main Sectt. of Ministry of I&B - Admn.I,https://mib.gov.in/sites/default/files/2026-05/expenditure-on-hospitality-order.pdf,,2026-05-26_expenditure-on-hospitality-facilities-to-the-officers-in-the-main-sectt-of-minis.pdf,Information Wing,1.16 MB,notices,2026-05-26T16:14:17.359896+00:00
2745bd18ed3a4d16c731fbdd5d491043081c398b,26-05-2026,Scheme for compassionate appointment - Admn.I (dated 28.02.2022),https://mib.gov.in/sites/default/files/2026-05/scheme-for-compassionate-appointment.pdf,,2026-05-26_scheme-for-compassionate-appointment---admni-dated-28022022.pdf,Information Wing,984.71 KB,notices,2026-05-26T16:14:17.360005+00:00
5de99f6e67306846ee491ab7f6ffaa136b2a1583,26-05-2026,Method of Recruitment to the Group 'C' posts of Departmental Canteen of Main Secretariat of Ministry of I&B. - Admn.I,https://mib.gov.in/sites/default/files/2026-05/gazette-for-recruitment-rules-of-canteen-attendent-1.pdf,,2026-05-26_method-of-recruitment-to-the-group-c-posts-of-departmental-canteen-of-main-secre.pdf,Guidelines,2.09 MB,acts_policy_guidelines,2026-05-26T16:14:19.478678+00:00
59bc33c04f76dcb757ef429a9fb3848d4df6987e,03-06-2026,Advisory on monitoring of the broadcast content and technical parameters & standards,https://mib.gov.in/sites/default/files/2026-06/advisory-on-monitoring-of-the-broadcast-content-and-technical-parameters-standards.pdf,,2026-06-03_advisory-on-monitoring-of-the-broadcast-content-and-technical-parameters-standar.pdf,Guidelines,1.53 MB,acts_policy_guidelines,2026-06-03T17:23:48.203280+00:00
