id,petition_no,pdf_url,scraped_at
401e49500a007105,APPEAL NO. 179 OF 2021,https://aptel.gov.in/sites/default/files/2026-05/May%2026%20-%20FINAL%20Judgment%20in%20APL%20179%20of%202021%20%281%29.pdf,2026-05-30T05:56:06.961621
45c420d8b5d98b47,"Appeal No. 220 of 2026 & IA No. 719 OF 2026 & IA No. 718 OF 2026 & IA No. 1051 OF 2026, Appeal No. 103 of 2026 & IA No. 432 OF 2026 & IA No. 434 OF 2026 & IA No. 858 OF 2026, Appeal No. 106 of 2026 & IA No. 444 OF 2026 & IA No. 445 OF 2026 & IA No. 836 OF 2026, Appeal No. 125 of 2026 & IA No. 509 OF 2026 & IA No. 511 OF 2026 AND Appeal No. 110 of 2026 & IA No. 454 OF 2026 & IA No. 453 OF 2026 & IA No. 805 OF 2026",https://aptel.gov.in/sites/default/files/2026-06/Appeal%20No.%20220%20of%202026%20%26%20batch.pdf,2026-06-05T06:43:52.118695
8815eae718be82f5,APPEAL No. 15 of 2026 & IA No. 1074 of 2025,https://aptel.gov.in/sites/default/files/2026-07/Judgment%20in%20Appeal%20No.%2015%20of%202026.pdf,2026-07-02T11:42:40.213131
a85cd07fac8728ca,APPEAL NO. 410 OF 2022 & IA No. 1512 of 2022,https://aptel.gov.in/sites/default/files/2026-07/Judgment%20in%20Appeal%20No.%20410%20%20of%202022.pdf,2026-07-02T11:42:45.538843
412925b86022870f,RP No. 35 OF 2025 & IA No. 177 of 2026 IN APL No. 268 OF 2016 RP No. 32 OF 2025 & IA No. 190 of 2026 IN APL No. 274 OF 2016 RP No. 33 OF 2025 & IA No. 213 of 2026 IN APL No. 135 OF 2017 RP No. 42 OF 2025 & IA No. 188 of 2026 IN APL No. 275 OF 2016 RP No. 43 OF 2025 & IA No. 179 of 2026 IN APL No. 272 OF 2016 RP No. 44 OF 2025 & IA No. 211 of 2026 IN APL No. 134 OF 2017 RP No. 45 OF 2025 & IA No. 186 of 2026 IN APL No. 8 OF 2017 RP No. 46 OF 2025 & IA No. 182 of 2026 IN APL No. 10 OF 2017 RP No. 47 OF 2025 & IA No. 193 of 2026 IN APL No. 299 OF 2016 RP No. 48 OF 2025 & IA No. 181 of 2026 IN APL No. 35 OF 2017 RP No. 49 OF 2025 & IA No. 187 of 2026 IN APL No. 7 OF 2017 RP No. 50 OF 2025 & IA No. 184 of 2026 IN APL No. 11 OF 2017 RP No. 51 OF 2025 & IA No. 209 of 2026 IN APL No. 183 OF 2017 RP No. 52 OF 2025 IN APL No. 4 OF 2017 RP No. 53 OF 2025 & IA No. 185 of 2026 IN APL No. 324 OF 2017 RP No. 34 OF 2025 IN APL No. 298 OF 2016 RP No. 36 OF 2025 & IA No. 191 of 2026 IN APL No. 270 OF 2016 RP No. 37 OF 2025 & IA No. 212 of 2026 IN APL No. 133 OF 2017 RP No. 38 OF 2025 & IA No. 192 of 2026 IN APL No. 237 OF 2016 RP No. 39 OF 2025 & IA No. 180 of 2026 IN APL No. 269 OF 2016 RP No. 40 OF 2025 IN APL No. 312 OF 2016 RP No. 41 OF 2025 & IA No. 189 of 2026 IN APL No. 271 OF 2016 RP No. 54 OF 2025 & IA No. 210 of 2026 IN APL No. 136 OF 2017 RP No. 55 OF 2025 & IA No. 183 of 2026 & IA No. 214 OF 2026 IN APL No. 181 OF 2017 RP No. 56 OF 2025 & IA No. 178 of 2026 IN APL No. 326 OF 2016,https://aptel.gov.in/sites/default/files/2026-07/RP%2035%20OF%202025%20and%20Batch-25Nos.pdf,2026-07-02T11:42:52.231537
be588c22792a20a3,REVIEW PETITION NO.31 OF 2025 & IA NO. 1487 OF 2025 IN APPEAL NOS.254 OF 2021 & 207 OF 2022,https://aptel.gov.in/sites/default/files/2026-07/RP%2031%20OF%202025.pdf,2026-07-03T08:25:39.318838
8d8481606b5d8a24,REVIEW PETITION NO.20 OF 2025 IN Appeal No.130 of 2019,https://aptel.gov.in/sites/default/files/2026-07/RP%2020%20OF%202025.pdf,2026-07-03T08:25:41.757385
79519967ffb638b2,IA NO.62 OF 2026 IN DFR NO.21 OF 2026,https://aptel.gov.in/sites/default/files/2026-07/IA%20No.62%20OF%202026%20IN%20DFR%2021%20OF%202026.pdf,2026-07-03T08:25:44.960000
88ee1861817c0b85,APPEAL NO.183 OF 2020,https://aptel.gov.in/sites/default/files/2026-07/APL%20183%20OF%202020-F.pdf,2026-07-03T08:25:49.038221
4019f676e68b6893,APPEAL No. 155 of 2025,https://aptel.gov.in/sites/default/files/2026-07/Appeal%20No.%20155%20of%202025.pdf,2026-07-04T05:55:12.621289
